S.No,Station Name,Code,Category,Division,Zone,District,State,Awarded Date
146,"ANAND VIHAR TERMINAL",ANVT,NSG-2,"Delhi",NR,"New Delhi","Delhi",2025-04-24
147,"DELHI SHAHDARA",DSA,NSG-3,"Delhi",NR,"New Delhi","Delhi",2025-04-24
148,"DELHI CANTT",DEC,NSG-3,"Delhi",NR,"New Delhi","Delhi",2025-04-24
149,"CHARBAGH  LUCKNOW",LKO,NSG-2,"Lucknow",NR,"Lucknow","Uttar Pradesh",2025-05-06
150,"DELHI SARAI ROHILLA",DEE,NSG-2,"Delhi",NR,"New Delhi","Delhi",2025-04-24
151,"OKHLA",OKA,NSG-5,"Delhi",NR,"New Delhi","Delhi",2025-04-24
152,"LALKUAN",LKU,NSG-4,"Izzatnagar",NER,"Nainital","Uttarakhand",2025-05-06
153,"MANINAGAR",MAN,NSG-4,"AHMEDABAD",WR,"Ahmedabad","Gujarat",2025-05-06
154,"TALALA",TAV,NSG-6,"BHAVNAGAR",WR,"Gir Somnath","Gujarat",2025-05-06
155,"UNJHA",UJA,NSG-4,"AHMEDABAD",WR,"Mahesana","Gujarat",2025-05-06
156,"KATHGODAM",KGM,NSG-3,"Izzatnagar",NER,"Nainital","Uttarakhand",2025-05-06
157,"NILAMBUR",NIL,NSG-5,"PALAKKAD",SR,"Palakkad","Kerala",2025-06-11
158,"PALAKKAD TOWN",PGTN,NSG-5,"PALAKKAD",SR,"Palakkad","Kerala",2025-06-11
159,"LALITPUR",LAR,NSG-4,"JHANSI",NCR,"Lalitpur","Uttar Pradesh",2025-06-11
160,"PATHANKOT CANTT STATION",PTKC,NSG-3,"Firozpur",NR,"Pathankot","Punjab",2025-08-27
161,"OTTAPALAM",OTP,NSG-3,"PALAKKAD",SR,"Palakkad","Kerala",2025-06-11
162,"SAWAI MADHOPUR RAILWAY",SWM,NSG-3,"Kota",WCR,"Sawai Madhopur","Rajasthan",2025-07-02
163,"AJMER",AII,NSG-2,"Ajmer",NWR,"Ajmer","Rajasthan",2025-07-02
164,"JAIPUR",JP,NSG-2,"Jaipur",NWR,"Jaipur","Rajasthan",2025-07-02
165,"DEORIA",DEOS,NSG-3,"BANARAS",NER,"Gorakhpur","Uttar Pradesh",2025-07-02
166,"GORAKHPUR",GKP,NSG-1,"LUCKNOW",NER,"Gorakhpur","Uttar Pradesh",2025-07-02
167,"PRAYAGRAJ",PRYJ,NSG-2,"PRAYAGRAJ",NCR,"Prayagraj","Uttar Pradesh",2025-07-02
168,"TRIPUNITHURA",TRTR,NSG-5,"THIRUVANANTHAPURAM",SR,"Ernakulam","Kerala",2025-07-02
169,"BATHINDA",BTI,NSG-3,"AMBALA",NR,"Bathinda","Punjab",2025-07-02
170,"PALANI",PLNI,NSG-4,"Madurai",SR,"Dindigul","Tamil Nadu",2025-08-27
171,"THOOTHUKUDI",TN,NSG-3,"Madurai",SR,"Thoothukkudi","Tamil Nadu",2025-08-27
172,"SENGOTTAI",SCT,NSG-5,"Madurai",SR,"Tirunelveli","Tamil Nadu",2025-08-27
173,"TENKASI",TSI,NSG-3,"Madurai",SR,"Tirunelveli","Tamil Nadu",2025-08-27
174,"KURDUWADI",KWV,NSG-4,"Solapur",CR,"Solapur","Maharashtra",2025-10-24
175,"GANGAPUR ROAD",GUR,NSG-3,"Solapur",CR,"Solapur","Maharashtra",2025-10-24
176,"AKKALKOT",AKOR,NSG-5,"Solapur",CR,"Solapur","Maharashtra",2025-10-24
177,"PANDHARPUR",PVR,NSG-4,"Solapur",CR,"Solapur","Maharashtra",2025-11-28
178,"LATUR",LUR,NSG-4,"Solapur",CR,"Solapur","Maharashtra",2025-10-24
179,"DHARASHIV",DRSV,NSG-5,"Solapur",CR,"Dharashiv","Maharashtra",2025-11-28
180,"WADI",WADI,NSG-4,"Solapur",CR,"Kalaburagi","Karnataka",2025-10-24
181,"SOLAPUR",SUR,NSG-2,"Solapur",CR,"Solapur","Maharashtra",2025-10-24
182,"NAGERCOIL",NCJ,NSG-3,"THIRUVANANTHAPURAM",SR,"Kanyakumari","Tamil Nadu",2025-12-04
183,"TIRUVALLA",TRVL,NSG-3,"THIRUVANANTHAPURAM",SR,"Pathanamthitta","Kerala",2025-11-28
184,"BHAKTI NAGAR",BKNG,NSG-5,"RAJKOT",WR,"Rajkot","Gujarat",2025-12-04
185,"HAPA",HAPA,NSG-5,"RAJKOT",WR,"Jamnagar","Gujarat",2025-10-24
186,"NEW ALIPURDUAR",NOQ,NSG-3,"Alipurduar",NFR,"Alipurduar","West Bengal",2025-12-04
187,"KOKRAJHAR",KOJ,NSG-4,"ALIPURDUAR",NFR,"Kokrajhar","Assam",2026-01-31
188,"FALAKATA",FLK,NSG-5,"Alipurduar",NFR,"Alipurduar","West Bengal",2025-12-04
189,"GOLAKGANJ",GKJ,NSG-6,"ALIPURDUAR",NFR,"Dhubri","Assam",2026-01-01
190,"NEW COOCHBEHAR",NCB,NSG-3,"Alipurduar",NFR,"Coochbehar","West Bengal",2025-12-04
191,"BINNAGURI",BNV,NSG-5,"Alipurduar",NFR,"Alipurduar","West Bengal",2025-12-04
192,"DINHATA",DHH,NSG-5,"Alipurduar",NFR,"Coochbehar","West Bengal",2025-12-04
193,"DHUPGURI",DQG,NSG-4,"Alipurduar",NFR,"Jalpaiguri","West Bengal",2025-12-04
194,"TRIVANDRUM CENTRAL",TVC,NSG-2,"THIRUVANANTHAPURAM",SR,"Thiruvananthapuram","Kerala",2025-10-24
195,"JALPAIGURI ROAD",JPE,NSG-5,"Alipurduar",NFR,"Jalpaiguri","West Bengal",2025-12-04
196,"NEW MAL JN",NMZ,NSG-5,"Alipurduar",NFR,"Jalpaiguri","West Bengal",2025-12-04
197,"ALAPPUZHA",ALLP,NSG-3,"THIRUVANANTHAPURAM",SR,"Alappuzha","Kerala",2025-12-04
198,"SION",SIN,SG-1,"MUMBAI",CR,"Navi Mumbai Municipal Corporation (Thane Zone-4)","Maharashtra",2025-10-24
199,"MATUNGA",MTN,SG-2,"MUMBAI",CR,"Bhiwandi Municipal Corporation (Thane Zone-5)","Maharashtra",2025-10-24
200,"CHINCHPOKLI",CHG,SG-2,"MUMBAI",CR,"Navi Mumbai Municipal Corporation (Thane Zone-2)","Maharashtra",2025-10-24
201,"DIMAPUR",DMV,NSG-3,"LUMDING",NFR,"Dimapur","Nagaland",2025-10-24
202,"BYCULLA",BY,SG-2,"MUMBAI",CR,"Navi Mumbai Municipal Corporation (Thane Zone-3)","Maharashtra",2025-10-24
203,"MASJID",MSD,SG-2,"MUMBAI",CR,"Greater Mumbai","Maharashtra",2025-10-24
204,"CHHATRAPATI SHIVAJI MAHARAJ TERMINUS",CSTM,NSG-1,"MUMBAI",CR,"Greater Mumbai","Maharashtra",2025-10-24
205,"DADAR",DDR,NSG-1,"MUMBAI CENTRAL",WR,"Greater Mumbai","Maharashtra",2025-10-24
206,"CURREY ROAD",CRD,SG-2,"MUMBAI",CR,"Greater Mumbai","Maharashtra",2025-10-24
207,"GHATKOPAR STATION",GC,SG-1,"MUMBAI",CR,"Greater Mumbai","Maharashtra",2025-10-24
208,"VARKALA",VAK,NSG-3,"THIRUVANANTHAPURAM",SR,"Thiruvananthapuram","Kerala",2025-10-24
209,"THIRUVANANTHAPURAM PETTAH",TVP,NSG-6,"THIRUVANANTHAPURAM",SR,"Thiruvananthapuram","Kerala",2025-11-28
210,"THIRUVANANTHAPURAM NORTH",TVCN,NSG-3,"THIRUVANANTHAPURAM",SR,"Thiruvananthapuram","Kerala",2025-11-28
211,"PAREL",PR,SG-3,"MUMBAI",CR,"Kalyan Tahashil (Thane Zone-8)","Maharashtra",2025-10-24
212,"BHANDUP STATION",BND,SG-1,"MUMBAI",CR,"Greater Mumbai","Maharashtra",2026-01-29
213,"VIKHROLI STATION",VK,SG-1,"MUMBAI",CR,"Greater Mumbai","Maharashtra",2025-10-24
214,"VIDYAVIHAR STATION",VVH,SG-2,"MUMBAI",CR,"Thane Municipal Corporation (Thane Zone-1)","Maharashtra",2025-10-24
215,"ERNAKULAM TOWN",ERN,NSG-2,"THIRUVANANTHAPURAM",SR,"Ernakulam","Kerala",2025-12-04
216,"AMBALAPUZHA",AMPA,NSG-5,"THIRUVANANTHAPURAM",SR,"Alappuzha","Kerala",2025-12-04
217,"MANGALORE CENTRAL",MAQ,NSG-2,"Palakkad",SR,"Dakshina Kannada","Karnataka",2026-01-01
218,"MANGALORE",MAJN,NSG-3,"Palakkad",SR,"Dakshina Kannada","Karnataka",2026-01-01
219,"ERODE",ETW,NSG-2,"SALEM",SR,"Erode","Tamil Nadu",2026-01-01
220,"MULUND STATION",MLND,SG-1,"MUMBAI",CR,"Navi Mumbai Municipal Corporation (Thane Zone-3)","Maharashtra",2025-11-28
221,"KALVA STATION",KLVA,SG-2,"MUMBAI",CR,"Navi Mumbai Municipal Corporation (Thane Zone-3)","Maharashtra",2026-01-01
222,"THANE",TNA,NSG-1,"MUMBAI",CR,"Navi Mumbai Municipal Corporation (Thane Zone-4)","Maharashtra",2025-11-28
223,"MAVELIKARA",MVLK,NSG-5,"THIRUVANANTHAPURAM",SR,"Alappuzha","Kerala",2025-12-04
224,"PARASSALA",PASA,NSG-5,"THIRUVANANTHAPURAM",SR,"Thiruvananthapuram","Kerala",2025-12-01
225,"KOLLAM",QLN,NSG-2,"THIRUVANANTHAPURAM",SR,"Kollam","Kerala",2025-12-01
226,"CHANGANACHERI",CGY,NSG-4,"THIRUVANANTHAPURAM",SR,"Kottayam","Kerala",2025-12-04
227,"ALUVA",AWY,NSG-3,"THIRUVANANTHAPURAM",SR,"Ernakulam","Kerala",2025-12-04
228,"THRISSUR",TCR,NSG-2,"THIRUVANANTHAPURAM",SR,"Thrissur","Kerala",2025-12-04
229,"ERNAKULAM",ERS,NSG-2,"THIRUVANANTHAPURAM",SR,"Ernakulam","Kerala",2025-12-04
