Extracted 294 records
194 | TRIVANDRUM CENTRAL | TVC | NSG-2 | SR | Thiruvananthapuram | Kerala
195 | JALPAIGURI ROAD | JPE | NSG-5 | NFR | Jalpaiguri | West Bengal
196 | NEW MAL JN | NMZ | NSG-5 | NFR | Jalpaiguri | West Bengal
197 | ALAPPUZHA | ALLP | NSG-3 | SR | Alappuzha | Kerala
198 | SION | SIN | SG-1 | CR | Navi Mumbai Municipal Corporation (Thane Zone-4) | Maharashtra
199 | MATUNGA | MTN | SG-2 | CR | Bhiwandi Municipal Corporation (Thane Zone-5) | Maharashtra
200 | CHINCHPOKLI | CHG | SG-2 | CR | Navi Mumbai Municipal Corporation (Thane Zone-2) | Maharashtra
201 | DIMAPUR | DMV | NSG-3 | NFR | Dimapur | Nagaland
202 | BYCULLA | BY | SG-2 | CR | Navi Mumbai Municipal Corporation (Thane Zone-3) | Maharashtra
203 | MASJID | MSD | SG-2 | CR | Greater Mumbai | Maharashtra
204 | CHHATRAPATI SHIVAJI MAHARAJ TERMINUS | CSTM | NSG-1 | CR | Greater Mumbai | Maharashtra
205 | DADAR | DDR | NSG-1 | WR | Greater Mumbai | Maharashtra
206 | CURREY ROAD | CRD | SG-2 | CR | Greater Mumbai | Maharashtra
207 | GHATKOPAR STATION | GC | SG-1 | CR | Greater Mumbai | Maharashtra
208 | VARKALA | VAK | NSG-3 | SR | Thiruvananthapuram | Kerala
209 | THIRUVANANTHAPURAM PETTAH | TVP | NSG-6 | SR | Thiruvananthapuram | Kerala
210 | THIRUVANANTHAPURAM NORTH | TVCN | NSG-3 | SR | Thiruvananthapuram | Kerala
211 | PAREL | PR | SG-3 | CR | Kalyan Tahashil (Thane Zone-8) | Maharashtra
212 | BHANDUP STATION | BND | SG-1 | CR | Greater Mumbai | Maharashtra
213 | VIKHROLI STATION | VK | SG-1 | CR | Greater Mumbai | Maharashtra
214 | VIDYAVIHAR STATION | VVH | SG-2 | CR | Thane Municipal Corporation (Thane Zone-1) | Maharashtra
215 | ERNAKULAM TOWN | ERN | NSG-2 | SR | Ernakulam | Kerala
216 | AMBALAPUZHA | AMPA | NSG-5 | SR | Alappuzha | Kerala
217 | MANGALORE CENTRAL | MAQ | NSG-2 | SR | Dakshina Kannada | Karnataka
218 | MANGALORE | MAJN | NSG-3 | SR | Dakshina Kannada | Karnataka
219 | ERODE | ETW | NSG-2 | SR | Erode | Tamil Nadu
220 | MULUND STATION | MLND | SG-1 | CR | Navi Mumbai Municipal Corporation (Thane Zone-3) | Maharashtra
221 | KALVA STATION | KLVA | SG-2 | CR | Navi Mumbai Municipal Corporation (Thane Zone-3) | Maharashtra
